                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,1.2226,2.7128,1.4916,0.38746,0.45471,0.28188,0.18264,1.1195,4.89,1.5546,0.00029841,0.00029841,0.00029841
2,1.3476,2.0623,1.5685,0.25299,0.27912,0.10929,0.05467,2.0408,18.53,2.6307,0.00057164,0.00057164,0.00057164
3,1.4653,2.0455,1.6573,0.02006,0.25526,0.0117,0.00576,2.0056,24.692,2.462,0.00081487,0.00081487,0.00081487
4,1.4433,1.9516,1.6376,0.61703,0.33364,0.24242,0.12874,1.6259,4.7298,2.1562,0.00077401,0.00077401,0.00077401
5,1.4058,1.8627,1.5974,0.52327,0.21432,0.23017,0.13411,1.4619,2.89,1.8717,0.00077401,0.00077401,0.00077401
6,1.4018,1.7844,1.6171,0.55126,0.37648,0.31772,0.18543,1.3275,2.8026,1.7195,0.00072902,0.00072902,0.00072902
7,1.3591,1.7611,1.5797,0.50935,0.29834,0.30522,0.17406,1.4785,2.6173,1.8271,0.00068402,0.00068402,0.00068402
8,1.3001,1.6315,1.5253,0.552,0.45215,0.41511,0.26152,1.2672,2.1101,1.6565,0.00063903,0.00063903,0.00063903
9,1.252,1.5617,1.4946,0.65158,0.43271,0.43602,0.2653,1.3331,1.99,1.7419,0.00059403,0.00059403,0.00059403
10,1.1944,1.4848,1.4576,0.60251,0.54163,0.47835,0.31973,1.0943,1.885,1.5161,0.00054904,0.00054904,0.00054904
11,1.0838,1.2466,1.4486,0.6786,0.55761,0.59603,0.41498,1.0113,1.4586,1.4527,0.00050404,0.00050404,0.00050404
12,0.98604,1.0955,1.3863,0.71624,0.62696,0.61344,0.4344,0.98678,1.3142,1.3928,0.00045904,0.00045904,0.00045904
13,0.98841,1.0468,1.3846,0.71094,0.5856,0.59459,0.43733,0.93194,1.2416,1.3591,0.00041405,0.00041405,0.00041405
14,0.92108,0.97783,1.3318,0.78272,0.58267,0.66327,0.4696,0.97863,1.2604,1.4482,0.00036905,0.00036905,0.00036905
15,0.855,0.91411,1.2737,0.80535,0.63697,0.67477,0.51008,0.85873,1.0209,1.2984,0.00032406,0.00032406,0.00032406
16,0.83201,0.86431,1.2527,0.78484,0.62065,0.65694,0.5084,0.85787,1.2442,1.306,0.00027906,0.00027906,0.00027906
17,0.79154,0.77424,1.2164,0.82959,0.63823,0.69442,0.53269,0.84833,0.99825,1.2924,0.00023407,0.00023407,0.00023407
18,0.74325,0.72982,1.1714,0.81196,0.69587,0.73006,0.5814,0.77863,0.88766,1.2464,0.00018907,0.00018907,0.00018907
19,0.67803,0.65945,1.1292,0.7786,0.69761,0.68957,0.55634,0.75364,0.95794,1.2401,0.00014408,0.00014408,0.00014408
20,0.6838,0.66658,1.1215,0.8376,0.66582,0.74642,0.59727,0.77766,0.83022,1.2425,9.91E-05,9.91E-05,9.91E-05
