                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.148,                 6.0096,                  2.383,                      0,                      0,                      0,                      0,                 2.5223,                 6.6914,                 2.7224,                      0,                      0,                      0
                      2,                 1.9207,                 6.0695,                 2.3002,                      0,                      0,                      0,                      0,                 2.5183,                 6.6325,                 2.7264,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 1.9112,                 8.6761,                 2.3519,                      0,                      0,                      0,                      0,                 2.5224,                 6.6481,                 2.7415,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 2.1869,                 6.9829,                 2.3871,                      0,                      0,                      0,                      0,                 2.4918,                 6.6307,                 2.7523,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 2.4646,                 6.1561,                  2.323,                      0,                      0,                      0,                      0,                 2.4781,                 6.5161,                 2.7479,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 1.8134,                  7.039,                 2.2571,                      0,                      0,                      0,                      0,                 2.5021,                 6.5266,                 2.7686,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 2.5582,                 7.6417,                 2.6592,                      0,                      0,                      0,                      0,                 2.5397,                 6.5832,                 2.7861,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 1.6617,                 5.7725,                 2.0171,                      0,                      0,                      0,                      0,                 2.5867,                 6.5795,                 2.8093,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                  2.025,                 6.5578,                 2.2929,                      0,                      0,                      0,                      0,                 2.6206,                  6.502,                 2.8274,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 1.5926,                 5.6176,                 2.1069,                      0,                      0,                      0,                      0,                 2.6479,                 6.5038,                  2.858,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 2.1802,                  5.539,                 2.3099,                      0,                      0,                      0,                      0,                 2.6668,                 6.4714,                  2.879,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 1.6806,                 5.4294,                 2.0868,                      0,                      0,                      0,                      0,                 2.6116,                 6.4902,                 2.8258,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                 1.7201,                 5.3482,                 2.0293,                      0,                      0,                      0,                      0,                 2.6168,                 6.4366,                 2.8344,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 1.8152,                 5.9675,                 2.2001,                      0,                      0,                      0,                      0,                 2.6196,                 6.5292,                  2.836,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                 1.9048,                 5.4512,                 2.1591,                      0,                      0,                      0,                      0,                 2.6285,                 6.4951,                 2.8388,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                 1.7323,                 5.3866,                 2.0294,                      0,                      0,                      0,                      0,                  2.609,                 6.4678,                 2.8197,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                 1.5061,                 5.4391,                 1.9759,                      0,                      0,                      0,                      0,                 2.6015,                 6.4524,                 2.8102,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                 1.2401,                 5.3064,                 1.7626,                      0,                      0,                      0,                      0,                 2.6015,                 6.4524,                 2.8102,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                 1.8698,                   5.46,                 2.3342,                      0,                      0,                      0,                      0,                 2.5166,                 6.5245,                 2.7344,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                 1.7173,                 5.2277,                 1.9574,                      0,                      0,                      0,                      0,                 2.5166,                 6.5245,                 2.7344,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                 1.7833,                 5.5962,                 2.2029,                      0,                      0,                      0,                      0,                 2.5311,                  6.554,                 2.7431,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                 1.7965,                 5.6793,                 2.1739,                      0,                      0,                      0,                      0,                 2.5311,                  6.554,                 2.7431,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                 2.0415,                 5.4693,                  2.213,                      0,                      0,                      0,                      0,                 2.5521,                 6.5713,                 2.7673,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                 1.8845,                 5.3911,                 2.1101,                      0,                      0,                      0,                      0,                 2.5521,                 6.5713,                 2.7673,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                 1.7964,                  5.369,                 2.1197,                      0,                      0,                      0,                      0,                 2.5568,                 6.5004,                 2.8117,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                 1.6579,                 5.5283,                 2.1549,                      0,                      0,                      0,                      0,                 2.5568,                 6.5004,                 2.8117,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                 1.7565,                 5.3007,                 2.1472,                      0,                      0,                      0,                      0,                 2.5236,                 6.5002,                 2.8253,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                 1.9657,                 5.2717,                 2.2287,                      0,                      0,                      0,                      0,                 2.5236,                 6.5002,                 2.8253,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                 1.5058,                 5.2543,                 1.7911,                      0,                      0,                      0,                      0,                 2.4992,                 6.4391,                 2.8144,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                 1.6017,                 5.0533,                 1.9851,                      0,                      0,                      0,                      0,                 2.4992,                 6.4391,                 2.8144,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                 1.6122,                 5.1477,                  1.954,                      0,                      0,                      0,                      0,                 2.4717,                 6.4176,                 2.8018,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                 1.4966,                 5.1105,                 1.8403,                      0,                      0,                      0,                      0,                 2.4717,                 6.4176,                 2.8018,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                 1.8185,                 5.4488,                 2.1912,                      0,                      0,                      0,                      0,                 2.5111,                  6.314,                  2.807,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                 1.7337,                 5.4818,                 2.1859,                      0,                      0,                      0,                      0,                 2.5111,                  6.314,                  2.807,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                 1.5692,                 5.2357,                 1.9728,                      0,                      0,                      0,                      0,                 2.5654,                 6.3205,                 2.8851,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                 1.7335,                 5.2261,                 1.9863,                      0,                      0,                      0,                      0,                 2.5654,                 6.3205,                 2.8851,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                 1.8998,                 5.4131,                  2.162,                      0,                      0,                      0,                      0,                 2.5569,                 6.3256,                 2.8871,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                 1.2632,                 4.9909,                 1.7521,                      0,                      0,                      0,                      0,                 2.5569,                 6.3256,                 2.8871,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                  1.534,                 5.1771,                 2.0255,                      0,                      0,                      0,                      0,                 2.5045,                 6.3596,                 2.8093,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                  1.701,                 5.0175,                 1.9245,                      0,                      0,                      0,                      0,                 2.5045,                 6.3596,                 2.8093,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                 1.1787,                 4.9999,                 1.7246,                      0,                      0,                      0,                      0,                 2.4812,                 6.3823,                 2.7953,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                 1.6414,                 5.2549,                 1.8489,                      0,                      0,                      0,                      0,                 2.4812,                 6.3823,                 2.7953,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                 1.3108,                 4.8946,                 1.7799,                      0,                      0,                      0,                      0,                 2.4775,                 6.3934,                  2.791,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                 1.2281,                 4.9696,                 1.7724,                      0,                      0,                      0,                      0,                 2.4775,                 6.3934,                  2.791,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                 1.6847,                 5.2489,                 2.0151,                      0,                      0,                      0,                      0,                 2.4887,                 6.3898,                 2.8094,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                 1.4612,                 5.2234,                 1.9963,                      0,                      0,                      0,                      0,                 2.4887,                 6.3898,                 2.8094,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                 1.3165,                 5.0917,                 1.7802,                      0,                      0,                      0,                      0,                 2.4866,                 6.3834,                 2.8082,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                 1.5961,                  5.061,                 2.0376,                      0,                      0,                      0,                      0,                 2.4866,                 6.3834,                 2.8082,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                 1.2776,                 4.8654,                 1.6931,                      0,                      0,                      0,                      0,                 2.4647,                 6.3701,                 2.7912,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                 1.5187,                 4.9925,                 1.9984,                      0,                      0,                      0,                      0,                 2.4647,                 6.3701,                 2.7912,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                 1.3136,                 5.0874,                 1.8715,                      0,                      0,                      0,                      0,                 2.4698,                 6.3645,                  2.786,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                 1.3855,                 4.9696,                 1.9997,                      0,                      0,                      0,                      0,                 2.4698,                 6.3645,                  2.786,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                 1.4566,                  5.102,                 1.9022,                      0,                      0,                      0,                      0,                 2.4698,                 6.3645,                  2.786,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                 1.4203,                 4.9824,                 1.8333,                      0,                      0,                      0,                      0,                 2.4717,                 6.3797,                 2.7781,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                 1.4886,                 4.8476,                 1.8682,                      0,                      0,                      0,                      0,                 2.4717,                 6.3797,                 2.7781,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                 1.5895,                 5.1041,                 2.0509,                      0,                      0,                      0,                      0,                 2.4717,                 6.3797,                 2.7781,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                 1.3961,                 4.8994,                 1.8494,                      0,                      0,                      0,                      0,                  2.455,                 6.3618,                  2.773,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                 1.4068,                 5.0348,                 1.8685,                      0,                      0,                      0,                      0,                  2.455,                 6.3618,                  2.773,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                 1.3029,                 4.7069,                 1.7981,                      0,                      0,                      0,                      0,                  2.455,                 6.3618,                  2.773,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                 1.4557,                 4.9501,                  1.907,                      0,                      0,                      0,                      0,                 2.4331,                 6.3433,                 2.7655,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                 1.2583,                 4.8843,                 1.7552,                      0,                      0,                      0,                      0,                 2.4331,                 6.3433,                 2.7655,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                 1.5518,                 4.9905,                 1.9503,                      0,                      0,                      0,                      0,                 2.4331,                 6.3433,                 2.7655,             2.8753e-05,             2.8753e-05,             2.8753e-05
