                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4865,                 4.6239,                 1.9611,                      0,                      0,                      0,                      0,                 2.3638,                 6.2784,                 2.6666,                      0,                      0,                      0
                      2,                 1.2673,                 4.3396,                  1.566,                      0,                      0,                      0,                      0,                 2.3651,                 6.2656,                  2.666,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 1.3349,                 4.6089,                 1.6797,                      0,                      0,                      0,                      0,                 2.3682,                 6.2733,                 2.6904,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 1.2881,                 4.3044,                 1.5261,                      0,                      0,                      0,                      0,                 2.3939,                 6.2644,                   2.73,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                0.97741,                 4.4358,                 1.5305,                      0,                      0,                      0,                      0,                 2.3986,                 6.2476,                 2.7442,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                  1.045,                 4.3952,                 1.6066,                      0,                      0,                      0,                      0,                 2.4021,                 6.2288,                 2.7416,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 1.3715,                 4.5006,                 1.9148,                      0,                      0,                      0,                      0,                 2.4511,                 6.1967,                 2.7866,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 1.0525,                 4.3327,                 1.5852,                      0,                      0,                      0,                      0,                 2.4446,                 6.2014,                 2.7836,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 1.2583,                 4.6787,                 1.6553,                      0,                      0,                      0,                      0,                 2.4103,                 6.2184,                 2.7609,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 1.1662,                 4.3729,                 1.7182,                      0,                      0,                      0,                      0,                 2.4646,                 6.2226,                 2.7506,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 1.2877,                 4.4469,                 1.7934,                      0,                      0,                      0,                      0,                 2.4857,                 6.2035,                 2.7719,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 1.0174,                 4.3376,                 1.4907,                      0,                      0,                      0,                      0,                 2.4867,                 6.2061,                 2.7706,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                 1.2259,                 4.2355,                 1.6897,                      0,                      0,                      0,                      0,                 2.4506,                 6.2025,                 2.7214,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 1.0773,                 4.2062,                 1.6058,                      0,                      0,                      0,                      0,                 2.4294,                 6.2143,                 2.6984,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                 1.2296,                 4.3036,                  1.691,                      0,                      0,                      0,                      0,                 2.4003,                 6.2113,                 2.6532,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                 1.0724,                 4.1737,                 1.6715,                      0,                      0,                      0,                      0,                 2.4073,                 6.2033,                 2.6446,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                 1.0729,                 4.1549,                 1.5664,                      0,                      0,                      0,                      0,                 2.4169,                 6.2043,                 2.6401,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                 1.0106,                  3.928,                 1.5334,                      0,                      0,                      0,                      0,                 2.4169,                 6.2043,                 2.6401,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                0.99674,                 4.0215,                 1.4741,                      0,                      0,                      0,                      0,                  2.424,                 6.2009,                  2.648,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                 1.0854,                 4.2679,                 1.6978,                      0,                      0,                      0,                      0,                  2.424,                 6.2009,                  2.648,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                 1.0108,                 4.1367,                 1.6686,                      0,                      0,                      0,                      0,                  2.432,                 6.1952,                 2.6476,             1.9088e-05,             1.9088e-05,             1.9088e-05
